Stock,Categoria,Settore
AAME,Financial Services,Insurance—Life
AAPL,Technology,Consumer Electronics
ACB,Healthcare,Drug Manufacturers—Specialty & Generic
ABNB,Consumer Cyclical,Travel Services
ACLS,Technology,Semiconductor Equipment & Materials
ADES,Industrials,Pollution & Treatment Controls
APD,Basic Materials,Specialty Chemicals
AMZN,Consumer Cyclical,Internet Retail
META,Communication Services,Internet Content & Information
TSLA,Consumer Cyclical,Auto Manufacturers
F,Consumer Cyclical,Auto Manufacturers
MSFT,Technology,Software—Infrastructure
CNHI,Industrials,Farm & Heavy Construction Machinery
CNXN,Technology,Electronics & Computer Distribution
EAR,Healthcare,Medical Devices
EBAY,Consumer Cyclical,Internet Retail
ECC,Financial Services,Asset Management
NKE,Consumer Cyclical,Footwear & Accessories
ELSE,Technology,Scientific & Technical Instruments
FOSL,Consumer Cyclical,Luxury Goods
FTI,Energy,Oil & Gas Equipment & Services
GDOT,Financial Services,Credit Services
GES,Consumer Cyclical,Apparel Retail
GILT,Technology,Communication Equipment
GM,Consumer Cyclical,Auto Manufacturers
GTIM,Consumer Cyclical,Restaurants
HTOO,Utilities,Utilities—Renewable
AMP,Financial Services,Asset Management
